รหัสรถ,ประเภทขนส่ง,รุ่นรถ,ประจำคลังโยกฟลีต,เบอร์รถ,ประเภทรถ
Oil319,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,319,สิบล้อ
Oil320,Oil,FVM 240,คลัง ลำปาง,320,สิบล้อ
Oil321,Oil,FVM 240,คลัง หนองแค,321,สิบล้อ
Oil322,Oil,FVM 240,คลัง ศรีราชา,322,สิบล้อ
Oil323,Oil,FVM 240,รถสำรอง Fleet SR,323,สิบล้อ
Oil324,Oil,FVM 240,คลัง หนองแค,324,สิบล้อ
Oil325,Oil,FVM 240,คลัง ศรีราชา,325,สิบล้อ
Oil326,Oil,FVM 240,คลัง ศรีราชา,326,สิบล้อ
Oil327,Oil,FVM 240,คลัง ศรีราชา,327,สิบล้อ
Oil328,Oil,FVM 240,คลัง ศรีราชา,328,สิบล้อ
Oil329,Oil,FVM 240,คลัง ขอนแก่น,329,สิบล้อ
Oil405,Oil,FVM 240,คลัง ขอนแก่น,405,สิบล้อ
Oil406,Oil,FVM 240,คลัง พิษณุโลก,406,สิบล้อ
Oil407,Oil,FVM 240,คลัง ศรีราชา,407,สิบล้อ
Oil408,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,408,สิบล้อ
Oil409,Oil,FVM 240,คลัง พิษณุโลก,409,สิบล้อ
Oil410,Oil,FVM 240,คลัง แม่กลอง,410,สิบล้อ
Oil411,Oil,FVM 240,คลัง แม่กลอง,411,สิบล้อ
Oil412,Oil,FVM 240,คลัง ศรีราชา,412,สิบล้อ
Oil413,Oil,FVM 240,รถสำรอง Fleet SR,413,สิบล้อ
Oil414,Oil,FVM 240,คลัง พิษณุโลก,414,สิบล้อ
Oil427,Oil,FVM 240,คลัง ขอนแก่น,427,สิบล้อ
Oil428,Oil,FVM 240,คลัง ชุมพร,428,สิบล้อ
Oil429,Oil,FVM 240,คลัง ปักธงชัย,429,สิบล้อ
Oil430,Oil,FVM 240,คลัง พิษณุโลก,430,สิบล้อ
Oil431,Oil,FVM 240,คลัง ขอนแก่น,431,สิบล้อ
Oil432,Oil,FVM 240,รถสำรอง Fleet SR,432,สิบล้อ
Oil433,Oil,FVM 240,คลัง นครสวรรค์,433,สิบล้อ
Oil434,Oil,FVM 240,คลัง นครสวรรค์,434,สิบล้อ
Oil435,Oil,FVM 240,รถสำรอง Fleet SR,435,สิบล้อ
Oil436,Oil,FVM 240,คลัง พิษณุโลก,436,สิบล้อ
Oil437,Oil,FVM 240,คลัง ลำปาง,437,สิบล้อ
Oil438,Oil,FVM 240,คลัง ลำปาง,438,สิบล้อ
Oil439,Oil,FVM 240,คลัง พิษณุโลก,439,สิบล้อ
Oil440,Oil,FVM 240,คลัง พิษณุโลก,440,สิบล้อ
Oil441,Oil,FVM 240,คลัง พิษณุโลก,441,สิบล้อ
Oil442,Oil,FVM 240,คลัง ศรีราชา,442,สิบล้อ
Oil443,Oil,FVM 240,คลัง ศรีราชา,443,สิบล้อ
Oil444,Oil,FVM 240,คลัง นครสวรรค์,444,สิบล้อ
Oil445,Oil,FVM 240,คลัง ศรีราชา,445,สิบล้อ
Oil446,Oil,FVM 240,รถสำรอง Fleet SR,446,สิบล้อ
Oil447,Oil,FVM 240,คลัง ลำปาง,447,สิบล้อ
Oil448,Oil,FVM 240,คลัง แม่กลอง,448,สิบล้อ
Oil449,Oil,FVZ 240,คลัง ลำปาง,449,สิบล้อ
Oil450,Oil,FVZ 240,คลัง ลำปาง,450,สิบล้อ
Oil451,Oil,FVZ 240,คลัง นครสวรรค์,451,สิบล้อ
Oil452,Oil,FVM 240,รถสำรอง Fleet SR,452,สิบล้อ
Oil453,Oil,FVM 240,คลัง ลำปาง,453,สิบล้อ
Oil454,Oil,FVM 240,คลัง ขอนแก่น,454,สิบล้อ
Oil455,Oil,FVM 240,คลัง ขอนแก่น,455,สิบล้อ
Oil456,Oil,FVM 240,คลัง ขอนแก่น,456,สิบล้อ
Oil457,Oil,FVM 240,คลัง ขอนแก่น,457,สิบล้อ
Oil458,Oil,FVM 240,คลัง สุรินทร์,458,สิบล้อ
Oil459,Oil,FVM 240,คลัง ปักธงชัย,459,สิบล้อ
Oil460,Oil,FVM 240,คลัง ปักธงชัย,460,สิบล้อ
Oil461,Oil,FVM 240,คลัง ชุมพร,461,สิบล้อ
Oil462,Oil,FVM 240,คลัง ชุมพร,462,สิบล้อ
Oil463,Oil,FVM 240,คลัง ลำปาง,463,สิบล้อ
Oil464,Oil,FVZ 240,คลัง ลำปาง,464,สิบล้อ
Oil465,Oil,FVM 240,คลัง ศรีราชา,465,สิบล้อ
Oil466,Oil,FVM 240,คลัง นครสวรรค์,466,สิบล้อ
Oil467,Oil,FVM 240,คลัง นครสวรรค์,467,สิบล้อ
Oil468,Oil,FVM 240,รถสำรอง Fleet SR,468,สิบล้อ
Oil469,Oil,FVM 240,คลัง พิษณุโลก,469,สิบล้อ
Oil470,Oil,FVM 240,คลัง ศรีราชา,470,สิบล้อ
Oil471,Oil,FVM 240,คลัง ศรีราชา,471,สิบล้อ
Oil472,Oil,FVM 240,รถสำรอง Fleet SR,472,สิบล้อ
Oil473,Oil,FVM 240,คลัง ศรีราชา,473,สิบล้อ
Oil474,Oil,FVM 240,คลัง ศรีราชา,474,สิบล้อ
Oil475,Oil,FVM 240,คลัง ศรีราชา,475,สิบล้อ
Oil476,Oil,FVM 240,คลัง ศรีราชา,476,สิบล้อ
Oil477,Oil,FVM 240,คลัง ขอนแก่น,477,สิบล้อ
Oil478,Oil,FVM 240,คลัง ขอนแก่น,478,สิบล้อ
Oil479,Oil,FVM 240,คลัง ขอนแก่น,479,สิบล้อ
Oil480,Oil,FVM 240,คลัง สุรินทร์,480,สิบล้อ
